epoch 100, error=3114.92138672
epoch 200, error=2610.78222656
epoch 300, error=3019.80786133
epoch 400, error=2219.92797852
epoch 500, error=3871.9465332
epoch 600, error=3175.28295898
epoch 700, error=2987.4206543
epoch 800, error=2870.14160156
epoch 900, error=2578.94018555
epoch 1000, error=3288.53759766
epoch 1100, error=3021.3371582
epoch 1200, error=2774.0
epoch 1300, error=2076.51171875
epoch 1400, error=2747.7668457
epoch 1500, error=2507.78417969
epoch 1600, error=2857.9777832
epoch 1700, error=2884.04833984
epoch 1800, error=3392.45703125
epoch 1900, error=3509.33935547
epoch 2000, error=2388.46948242
epoch 2100, error=3098.35302734
epoch 2200, error=2517.76293945
epoch 2300, error=2628.90429688
epoch 2400, error=3365.93603516
epoch 2500, error=2562.36669922
epoch 2600, error=3191.68188477
epoch 2700, error=2986.49731445
epoch 2800, error=2233.47460938
epoch 2900, error=3292.0234375
epoch 3000, error=2380.07080078
epoch 3100, error=3424.86401367
epoch 3200, error=3305.36743164
epoch 3300, error=3056.66674805
epoch 3400, error=3110.82348633
epoch 3500, error=3388.63598633
epoch 3600, error=2685.17578125
epoch 3700, error=1756.52392578
epoch 3800, error=1864.68859863
epoch 3900, error=2298.12011719
epoch 4000, error=2718.14453125
epoch 4100, error=3347.52001953
epoch 4200, error=2143.88500977
epoch 4300, error=2411.11816406
epoch 4400, error=2946.03271484
epoch 4500, error=2563.875
epoch 4600, error=3560.15478516
epoch 4700, error=2499.69995117
epoch 4800, error=2813.17871094
epoch 4900, error=2602.56860352
epoch 5000, error=2516.20678711
epoch 5100, error=2472.92211914
epoch 5200, error=3272.46582031
epoch 5300, error=2744.38330078
epoch 5400, error=2787.50585938
epoch 5500, error=2690.26586914
epoch 5600, error=2377.87524414
epoch 5700, error=3906.49755859
epoch 5800, error=3038.57763672
epoch 5900, error=2652.19433594
epoch 6000, error=2668.94750977
epoch 6100, error=3186.64135742
epoch 6200, error=3292.07592773
epoch 6300, error=2605.06616211
epoch 6400, error=2237.14428711
epoch 6500, error=2242.89648438
epoch 6600, error=2544.40576172
epoch 6700, error=2084.7722168
epoch 6800, error=2862.74902344
epoch 6900, error=2948.2956543
epoch 7000, error=2516.13037109
epoch 7100, error=2034.81677246
epoch 7200, error=3277.34985352
epoch 7300, error=2960.21264648
epoch 7400, error=2916.05810547
epoch 7500, error=2418.15258789
epoch 7600, error=2155.68164062
epoch 7700, error=2665.91967773
epoch 7800, error=3016.02612305
epoch 7900, error=2585.70117188
epoch 8000, error=2544.10205078
epoch 8100, error=2795.28857422
epoch 8200, error=2403.24023438
epoch 8300, error=2053.28637695
epoch 8400, error=2305.0
epoch 8500, error=2324.37719727
epoch 8600, error=3251.60180664
epoch 8700, error=2500.9699707
epoch 8800, error=2248.75610352
epoch 8900, error=2835.62426758
epoch 9000, error=3307.03369141
epoch 9100, error=2893.00878906
epoch 9200, error=2566.01928711
epoch 9300, error=2575.20556641
epoch 9400, error=2418.48217773
epoch 9500, error=1925.50366211
epoch 9600, error=2332.64428711
epoch 9700, error=2841.49633789
^[^[^[^[^[epoch 9800, error=3112.20727539
epoch 9900, error=2829.27490234
Trained
Elapsed time: 7:23:32
