epoch, error
100, 3114.92138672
200, 2610.78222656
300, 3019.80786133
400, 2219.92797852
500, 3871.9465332
600, 3175.28295898
700, 2987.4206543
800, 2870.14160156
900, 2578.94018555
1000, 3288.53759766
1100, 3021.3371582
1200, 2774.0
1300, 2076.51171875
1400, 2747.7668457
1500, 2507.78417969
1600, 2857.9777832
1700, 2884.04833984
1800, 3392.45703125
1900, 3509.33935547
2000, 2388.46948242
2100, 3098.35302734
2200, 2517.76293945
2300, 2628.90429688
2400, 3365.93603516
2500, 2562.36669922
2600, 3191.68188477
2700, 2986.49731445
2800, 2233.47460938
2900, 3292.0234375
3000, 2380.07080078
3100, 3424.86401367
3200, 3305.36743164
3300, 3056.66674805
3400, 3110.82348633
3500, 3388.63598633
3600, 2685.17578125
3700, 1756.52392578
3800, 1864.68859863
3900, 2298.12011719
4000, 2718.14453125
4100, 3347.52001953
4200, 2143.88500977
4300, 2411.11816406
4400, 2946.03271484
4500, 2563.875
4600, 3560.15478516
4700, 2499.69995117
4800, 2813.17871094
4900, 2602.56860352
5000, 2516.20678711
5100, 2472.92211914
5200, 3272.46582031
5300, 2744.38330078
5400, 2787.50585938
5500, 2690.26586914
5600, 2377.87524414
5700, 3906.49755859
5800, 3038.57763672
5900, 2652.19433594
6000, 2668.94750977
6100, 3186.64135742
6200, 3292.07592773
6300, 2605.06616211
6400, 2237.14428711
6500, 2242.89648438
6600, 2544.40576172
6700, 2084.7722168
6800, 2862.74902344
6900, 2948.2956543
7000, 2516.13037109
7100, 2034.81677246
7200, 3277.34985352
7300, 2960.21264648
7400, 2916.05810547
7500, 2418.15258789
7600, 2155.68164062
7700, 2665.91967773
7800, 3016.02612305
7900, 2585.70117188
8000, 2544.10205078
8100, 2795.28857422
8200, 2403.24023438
8300, 2053.28637695
8400, 2305.0
8500, 2324.37719727
8600, 3251.60180664
8700, 2500.9699707
8800, 2248.75610352
8900, 2835.62426758
9000, 3307.03369141
9100, 2893.00878906
9200, 2566.01928711
9300, 2575.20556641
9400, 2418.48217773
9500, 1925.50366211
9600, 2332.64428711
9700, 2841.49633789
9800, 3112.20727539
9900, 2829.27490234
