epoch, error
0, 77598.0859375
100, 22160.4628906
200, 12213.0859375
300, 11550.6396484
400, 9844.50683594
500, 9073.1015625
600, 7321.54248047
700, 8622.55859375
800, 7859.85351562
900, 8512.99414062
1000, 8059.65087891
1100, 7517.93066406
1200, 6488.93505859
1300, 7816.24316406
1400, 6244.04296875
1500, 6786.63964844
1600, 7362.3359375
1700, 6427.80273438
1800, 6433.93212891
1900, 5206.93994141
2000, 6498.21289062
2100, 6680.02392578
2200, 5815.671875
2300, 6409.44873047
2400, 7007.671875
2500, 5517.79345703
2600, 6298.38867188
2700, 6874.39746094
2800, 6285.87255859
2900, 5593.99560547
3000, 5586.50390625
3100, 5530.39257812
3200, 6259.61035156
3300, 5480.92041016
3400, 5660.48974609
3500, 6733.56005859
3600, 5434.47314453
3700, 6242.84619141
3800, 5436.21630859
3900, 5389.35839844
4000, 5230.90429688
4100, 5529.49951172
4200, 6018.46044922
4300, 5257.5078125
4400, 5650.57617188
4500, 5384.66894531
4600, 5848.05761719
4700, 5370.10253906
4800, 5245.57128906
4900, 4967.85693359
5000, 6122.80615234
5100, 5407.35253906
5200, 5441.16308594
5300, 5637.79345703
5400, 4126.16943359
5500, 5550.25195312
5600, 4551.69628906
5700, 4783.54101562
5800, 5716.59716797
5900, 4943.70996094
6000, 4459.75830078
6100, 4811.25390625
6200, 4879.55419922
6300, 5418.38964844
6400, 5119.16064453
6500, 4280.41357422
6600, 4476.80419922
6700, 5616.74804688
6800, 5387.56933594
6900, 4947.66894531
7000, 5237.24853516
7100, 4340.63330078
7200, 5842.20361328
7300, 5167.06347656
7400, 4195.04150391
7500, 4951.39501953
7600, 4802.63867188
7700, 4461.72998047
7800, 5176.13232422
7900, 5461.27441406
8000, 4384.42919922
8100, 5124.90429688
8200, 5168.93847656
8300, 4066.43847656
8400, 4848.07080078
8500, 4945.12109375
8600, 4593.25488281
8700, 4416.81347656
8800, 4982.29199219
8900, 4534.33447266
9000, 4335.93603516
9100, 4728.21972656
9200, 5154.10839844
9300, 5365.54248047
9400, 4936.89990234
9500, 4937.91992188
9600, 4896.12548828
9700, 4565.94970703
9800, 4057.40966797
9900, 4311.39306641
