epoch, error
0, 103267.023438
100, 19985.8242188
200, 18120.171875
300, 18526.9179688
400, 16337.2675781
500, 15317.5449219
600, 18858.0136719
700, 17136.8808594
800, 17362.0546875
900, 18318.8535156
1000, 16938.2617188
1100, 17294.0058594
1200, 13785.7958984
1300, 14344.1347656
1400, 10882.8359375
1500, 10674.1289062
1600, 9268.94726562
1700, 9163.88964844
1800, 9673.74902344
1900, 8746.46972656
2000, 8925.84667969
2100, 9551.31835938
2200, 8790.54394531
2300, 8812.59960938
2400, 8294.99707031
2500, 8992.47460938
2600, 8171.11865234
2700, 7146.08642578
2800, 6403.52294922
2900, 7811.71875
3000, 7336.59130859
3100, 7539.140625
3200, 7646.51611328
3300, 6834.00976562
3400, 7228.78662109
3500, 7796.08007812
3600, 6972.00292969
3700, 5968.83203125
3800, 7138.21386719
3900, 7264.61523438
4000, 6305.15429688
4100, 6822.21191406
4200, 8357.58789062
4300, 7316.22314453
4400, 7414.72509766
4500, 7411.98730469
4600, 7257.41699219
4700, 6048.28710938
4800, 6117.92236328
4900, 7575.98046875
5000, 5867.09472656
5100, 6665.19921875
5200, 6766.3203125
5300, 6134.99121094
5400, 6649.59130859
5500, 6402.41162109
5600, 6526.890625
5700, 7290.09277344
5800, 5754.70996094
5900, 6383.42529297
6000, 5695.73388672
6100, 6310.22753906
6200, 5792.92285156
6300, 6710.85449219
6400, 6405.77880859
6500, 5862.18359375
6600, 7434.27392578
6700, 5850.58984375
6800, 7057.79248047
6900, 5725.90234375
7000, 6416.06542969
7100, 6763.67773438
7200, 5710.74902344
7300, 4701.77539062
7400, 6244.54296875
7500, 6274.92236328
7600, 5624.29882812
7700, 5742.14941406
7800, 6871.65576172
7900, 7336.88720703
8000, 6472.87597656
8100, 5938.79980469
8200, 5169.75097656
8300, 6938.34472656
8400, 6479.68945312
8500, 6916.59179688
8600, 5635.43701172
8700, 5696.74658203
8800, 5087.52587891
8900, 5090.72460938
9000, 5111.89160156
9100, 6331.88378906
9200, 6182.34960938
9300, 6095.49707031
9400, 5119.79394531
9500, 7109.16357422
9600, 6125.56005859
9700, 5707.89794922
9800, 6145.90917969
9900, 6713.31347656
